slug,city,state,rank,category,accept,sat_25,sat_75,act_25,grad_rate_4yr,retention,student_faculty_ratio,founded,undergrads
cuny-john-jay-college-of-criminal-justice-2693,New York,NY,17,Regional Universities North,57,,,,41,79,16,1965,11939
curry-college-2143,Milton,MA,140,Regional Universities North,88,,,,43,64,11,1879,1818
daemen-university-2808,Amherst,NY,358,National Universities,74,,,,47,78,14,1947,1656
cuny-college-of-staten-island-29040,Staten Island,NY,98,Regional Universities North,92,,,,29,74,18,1976,10049
dallas-baptist-university-3560,Dallas,TX,384,National Universities,89,960,1213,,43,65,14,1898,2785
davidson-college-2918,Davidson,NC,13,National Liberal Arts Colleges,13,1400,1530,,86,95,8,1837,1869
davis-and-elkins-college-3811,Elkins,WV,27,Regional Colleges South,94,,,,30,65,11,1904,683
dartmouth-college-2573,Hanover,NH,13,National Universities,5,1500,1570,,75,98,6,1769,4570
davenport-university-2249,Grand Rapids,MI,124,Regional Universities Midwest,98,,,,37,75,18,1866,3833
dean-college-2144,Franklin,MA,31,Regional Colleges North,74,,,,40,74,15,1865,1092
delta-state-university-2403,Cleveland,MS,50,Regional Universities South,100,943,1176,,32,68,12,1924,1876
denison-university-3042,Granville,OH,34,National Liberal Arts Colleges,17,1320,1490,,73,89,9,1831,2394
delaware-valley-university-3252,Doylestown,PA,136,Regional Universities North,93,1078,1253,,45,70,14,1896,1768
delaware-state-university-1428,Dover,DE,121,Regional Universities North,47,800,1020,,28,73,17,1891,4581
depaul-university-1671,Chicago,IL,169,National Universities,76,1140,1330,,55,85,17,1898,14188
depauw-university-1792,Greencastle,IN,58,National Liberal Arts Colleges,57,1120,1370,,69,90,10,1837,1917
dominican-university-1750,River Forest,IL,25,Regional Universities Midwest,90,870,1120,,45,77,12,1901,2690
dickinson-college-3253,Carlisle,PA,45,National Liberal Arts Colleges,42,1310,1460,,68,91,11,1783,2311
desales-university-3986,Center Valley,PA,283,National Universities,77,1090,1260,,64,81,12,1964,2172
dominican-university-new-york-2713,Orangeburg,NY,301,National Universities,90,1050,1190,,31,71,13,1952,1115
dominican-university-of-california-1196,San Rafael,CA,31,Regional Universities West,84,980,1178,,65,85,9,1890,1151
drexel-university-3256,Philadelphia,PA,80,National Universities,79,1240,1440,,31,89,9,1891,11757
drew-university-2603,Madison,NJ,84,National Liberal Arts Colleges,68,1103,1338,,63,87,11,1867,1611
drury-university-2461,Springfield,MO,25,Regional Universities Midwest,58,1130,1290,,47,77,14,1873,1391
duke-university-2920,Durham,NC,7,National Universities,6,1500,1570,,87,97,5,1838,6523
duquesne-university-3258,Pittsburgh,PA,169,National Universities,84,1180,1340,,67,85,13,1878,5371
