school_id,name,division,conference,conf_tier,2022_W,2022_L,2022_D,2023_W,2023_L,2023_D,2024_W,2024_L,2024_D,2025_W,2025_L,2025_D,2022_ps,2023_ps,2024_ps,2025_ps
kent_state,Kent State,D1,MAC,d1t3,4,7,7,12,7,2,9,7,3,8,6,6,,,,
kentucky,Kentucky,D1,SEC,d1t1,7,9,2,9,4,6,11,5,5,12,4,5,,,r32,appearance
liu,LIU,D1,NEC,d1t4,4,12,3,7,8,2,5,10,1,7,5,5,,,,
lsu,LSU,D1,SEC,d1t1,7,3,4,8,7,3,8,7,3,15,6,4,r32,appearance,appearance,r16
la_salle,La Salle,D1,Atlantic 10,d1t3,8,8,2,12,6,3,8,5,5,7,8,3,,,,
lafayette,Lafayette,D1,Patriot,d1t3,3,11,3,7,8,1,5,6,4,5,8,7,,,,
lamar,Lamar,D1,Southland,d1t4,15,2,2,15,3,3,5,8,6,7,8,5,appearance,appearance,,
le_moyne,Le Moyne,D1,NEC,d1t4,5,8,3,2,12,4,2,15,2,2,13,4,,,,
lehigh,Lehigh,D1,Patriot,d1t3,8,7,3,7,5,5,3,9,5,3,11,3,,,,
liberty,Liberty,D1,CUSA,d1t3,14,3,4,16,3,1,15,2,4,14,4,4,,appearance,,appearance
lindenwood,Lindenwood,D1,Ohio Valley,d1t4,6,8,6,3,13,1,11,5,4,10,5,5,,,,
lipscomb,Lipscomb,D1,ASUN,d1t3,11,5,3,14,5,1,14,4,4,15,6,2,,,appearance,r32
little_rock,Little Rock,D1,UAC,d1t4,5,7,5,7,5,8,7,7,5,7,4,6,,,,
long_beach_state,Long Beach State,D1,Big West,d1t3,8,7,6,10,6,4,6,9,3,5,8,5,,,,
longwood,Longwood,D1,Big South,d1t3,5,9,4,5,7,5,4,9,6,9,7,3,,,,
louisiana,Louisiana,D1,Sun Belt,d1t3,3,9,5,7,9,2,7,5,8,7,6,5,,,,
louisiana_tech,Louisiana Tech,D1,Sun Belt,d1t3,7,9,3,6,11,3,2,10,5,4,13,2,,,,
louisiana_monroe,Louisiana-Monroe,D1,Sun Belt,d1t3,10,6,3,9,2,8,9,8,3,13,3,4,,,,
louisville,Louisville,D1,ACC,d1t1,6,8,2,4,9,5,7,6,5,13,5,3,,,,r32
loyola_md,Loyola (MD),D1,Patriot,d1t3,6,8,4,,,,8,6,5,5,5,8,,,,
loyola_chicago,Loyola Chicago,D1,Atlantic 10,d1t3,8,8,3,7,7,4,9,5,5,9,4,6,,,,
loyola_marymount,Loyola Marymount,D1,West Coast,d1t2,3,8,6,6,10,3,11,5,2,5,7,5,,,,
maine,Maine,D1,America East,d1t3,9,3,5,11,2,6,13,2,3,6,8,4,,appearance,appearance,appearance
manhattan,Manhattan,D1,Metro,d1t3,3,7,5,4,7,4,10,7,3,7,6,5,,,,
marist,Marist,D1,Metro,d1t3,5,7,5,2,9,5,3,11,3,6,8,5,,,,
marquette,Marquette,D1,Big East,d1t2,7,7,4,5,10,4,6,11,3,7,7,4,,,,
marshall,Marshall,D1,Sun Belt,d1t3,4,10,5,7,9,1,3,8,5,8,5,4,,,,
maryland,Maryland,D1,Big Ten,d1t1,4,8,5,3,10,5,4,10,5,6,11,1,,,,
mcneese,McNeese,D1,Southland,d1t4,5,9,4,9,8,4,4,14,1,4,12,4,,,,
memphis,Memphis,D1,American,d1t2,11,5,6,,,,13,2,4,17,1,3,r16,r16,,r32
mercer,Mercer,D1,Southern,d1t3,9,4,7,10,6,5,11,5,3,10,7,3,,,,
mercyhurst,Mercyhurst,D1,NEC,d1t4,10,6,4,16,4,1,4,11,4,3,13,3,,,,
merrimack,Merrimack,D1,Metro,d1t3,8,8,3,10,4,4,7,9,3,4,12,2,,,,
miami_fl,Miami (FL),D1,ACC,d1t1,5,8,3,3,10,4,5,8,4,7,8,3,,,,
miami_oh,Miami (OH),D1,MAC,d1t3,9,5,6,8,10,1,8,5,6,11,5,3,,,,
michigan,Michigan,D1,Big Ten,d1t1,7,8,3,7,7,4,3,13,2,6,8,4,,appearance,,
michigan_state,Michigan State,D1,Big Ten,d1t1,17,3,3,14,5,3,14,3,5,15,4,6,r32,r16,r16,quarter
middle_tennessee,Middle Tennessee,D1,CUSA,d1t3,2,12,3,6,9,3,8,10,1,11,6,3,,,,
milwaukee,Milwaukee,D1,Horizon,d1t3,12,4,3,12,3,5,12,7,2,13,5,3,appearance,appearance,appearance,appearance
minnesota,Minnesota,D1,Big Ten,d1t1,8,8,3,7,6,4,14,5,3,6,8,3,,,r16,
mississippi_state,Mississippi State,D1,SEC,d1t1,12,6,4,12,6,5,,,,12,7,1,r32,r16,r16,appearance
missouri,Missouri,D1,SEC,d1t1,5,8,4,5,9,3,5,10,2,4,10,3,,,,
missouri_state,Missouri State,D1,CUSA,d1t3,12,7,2,12,2,5,13,5,3,7,9,4,appearance,,appearance,
monmouth,Monmouth,D1,CAA,d1t3,13,2,3,11,6,2,12,3,5,10,6,2,,,,
montana,Montana,D1,Big Sky,d1t4,7,7,6,13,3,3,12,2,5,11,4,5,,,,appearance
morehead_state,Morehead State,D1,Ohio Valley,d1t4,7,7,4,9,6,5,9,8,6,3,13,2,,appearance,appearance,
mount_st_mary_s,Mount St. Mary's,D1,Metro,d1t3,3,6,7,7,9,3,6,9,3,3,12,2,,,,
murray_state,Murray State,D1,Missouri Valley,d1t3,7,12,3,6,8,6,5,8,5,10,4,5,,,,
nc_state,NC State,D1,ACC,d1t1,7,7,6,3,9,6,4,10,4,5,9,4,appearance,,,
njit,NJIT,D1,America East,d1t3,5,8,6,7,7,5,4,10,3,7,5,6,,,,
navy,Navy,D1,Patriot,d1t3,8,8,3,9,7,3,9,10,2,9,6,4,,,,
nebraska,Nebraska,D1,Big Ten,d1t1,8,7,5,17,4,3,6,10,1,8,5,5,,quarter,,
nevada,Nevada,D1,Mountain West,d1t3,3,12,3,6,10,5,6,13,2,2,14,2,,,,
new_hampshire,New Hampshire,D1,America East,d1t3,9,6,3,6,5,5,12,5,1,4,6,7,appearance,,,
new_haven,New Haven,D1,NEC,d1t4,5,10,3,3,13,0,3,9,6,0,15,1,,,,
new_mexico,New Mexico,D1,Mountain West,d1t3,7,3,8,5,6,6,7,6,5,8,5,6,,,,
new_mexico_state,New Mexico State,D1,CUSA,d1t3,13,5,3,10,6,3,11,6,3,2,12,4,appearance,,,
niagara,Niagara,D1,Metro,d1t3,11,8,1,5,10,3,5,8,4,6,8,2,,,,
nicholls,Nicholls,D1,Southland,d1t4,2,16,1,1,17,1,2,13,1,4,9,5,,,,
north_alabama,North Alabama,D1,UAC,d1t4,5,8,5,11,5,6,3,14,0,8,5,6,,,,
north_carolina,North Carolina,D1,ACC,d1t1,20,5,1,13,2,8,22,5,0,13,6,2,final,quarter,champion,r16
north_dakota,North Dakota,D1,Summit,d1t4,7,9,4,5,7,6,4,8,6,8,7,3,,,,
north_dakota_state,North Dakota State,D1,Summit,d1t4,8,9,3,5,6,6,10,5,4,5,12,1,,,,
north_florida,North Florida,D1,ASUN,d1t3,4,7,5,4,9,5,9,4,7,9,9,4,,,,
north_texas,North Texas,D1,American,d1t2,12,6,2,8,5,3,7,6,6,6,10,4,,,,
northeastern,Northeastern,D1,CAA,d1t3,10,6,4,8,4,6,2,9,7,3,7,6,,,,
northern_arizona,Northern Arizona,D1,Big Sky,d1t4,8,6,6,11,6,3,4,7,6,6,6,7,appearance,,,
northern_colorado,Northern Colorado,D1,Big Sky,d1t4,4,11,3,1,13,4,4,14,1,3,10,6,,,,
northern_illinois,Northern Illinois,D1,Horizon,d1t3,6,8,4,8,8,3,9,5,5,4,10,3,,,,
northern_iowa,Northern Iowa,D1,Missouri Valley,d1t3,6,6,8,13,5,1,9,6,4,4,9,3,,,,
northern_kentucky,Northern Kentucky,D1,Horizon,d1t3,2,11,2,8,4,8,12,7,1,10,3,6,,,,
northwestern,Northwestern,D1,Big Ten,d1t1,16,5,2,9,5,4,6,10,3,9,4,8,r16,,,appearance
northwestern_state,Northwestern State,D1,Southland,d1t4,12,4,3,6,10,3,11,8,2,13,5,3,,,,
notre_dame,Notre Dame,D1,ACC,d1t1,17,3,3,12,4,4,14,4,4,15,2,3,quarter,r32,quarter,r32
oakland,Oakland,D1,Horizon,d1t3,8,4,7,5,6,7,3,14,2,4,8,8,,,,
ohio,Ohio,D1,MAC,d1t3,10,7,2,9,8,5,11,5,4,5,9,5,,appearance,,
ohio_state,Ohio State,D1,Big Ten,d1t1,11,6,3,9,8,2,14,6,3,11,5,6,r32,appearance,r16,quarter
oklahoma,Oklahoma,D1,SEC,d1t1,9,8,3,8,10,2,10,7,1,10,5,4,,,,
oklahoma_state,Oklahoma State,D1,Big 12,d1t1,11,4,4,,,,14,5,3,4,13,2,,,appearance,
