school_id,name,division,conference,conf_tier,2022_W,2022_L,2022_D,2023_W,2023_L,2023_D,2024_W,2024_L,2024_D,2025_W,2025_L,2025_D,2022_ps,2023_ps,2024_ps,2025_ps
carsonnewman,Carson-Newman,D2,SAC,d2t1,7,5,5,5,7,5,4,9,3,3,10,3,,,,
catawba,Catawba,D2,SAC,d2t1,9,6,2,9,6,2,6,5,6,5,7,3,,,,
cedarville,Cedarville,D2,GMAC,d2t1,12,10,2,8,6,5,5,9,4,12,2,7,,,,
chaminade,Chaminade,D2,PacWest,d2t2,2,10,2,0,12,3,1,10,3,2,9,2,,,,
charleston_wv,Charleston (WV),D2,MEC,d2t1,20,2,0,19,2,0,22,2,1,17,1,4,,,final,
chestnut_hill,Chestnut Hill,D2,CACC,d2t1,2,11,5,4,7,4,3,10,5,6,10,1,,,,
chico_state,Chico State,D2,CCAA,d2t2,7,5,8,11,2,7,11,3,5,5,7,4,,,,
chowan,Chowan,D2,Conference Carolinas,d2t1,6,6,5,8,4,6,9,5,3,10,4,4,,,,
christian_brothers,Christian Brothers,D2,GSC,d2t1,11,3,6,8,3,6,8,3,6,8,6,3,,,,
clayton_state,Clayton State,D2,Peach Belt,d2t1,10,5,4,15,4,1,13,4,4,8,8,4,,,,
coker,Coker,D2,SAC,d2t1,,,,8,6,3,15,3,1,3,5,7,,,,
